mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd
KEPLER,12020329,12020329,1,7.275040844,7.5377,3001.0,0.547,,4.86,,,113.64,833.0,5485.0,4.556,0.867,,,,312.1,0.0,0.0,0.0,0.0,169.994217,2455002.994217
KEPLER,12066335,12066335,1,19.27153892,2.7594,1219.8,0.031,,1.93,,,5.66,393.0,4077.0,4.702,0.56,,,,37.1,0.0,0.0,0.0,0.0,186.77093,2455019.77093
KEPLER,12070811,12070811,1,12.3935651,3.8896,916.6,0.883,,2.66,,,49.68,677.0,5557.0,4.603,0.75,,,,35.8,0.0,0.0,0.0,0.0,178.74725,2455011.74725
KEPLER,3120431,3120431,0,3.341913228,3.813,725.3,1.213,,21.55,,,268.67,1032.0,5295.0,4.551,0.811,,,,39.0,0.0,1.0,1.0,0.0,171.63943,2455004.63943
KEPLER,3246984,3246984,0,1.626630225,2.1145,1620.6,1.26,,32.43,,,1355.88,1547.0,5735.0,4.41,0.973,,,,103.6,0.0,0.0,1.0,0.0,169.820171,2455002.820171
KEPLER,3342970,3342970,1,2.711504086,3.0099,837.5,0.023,,3.12,,,960.79,1420.0,6214.0,4.442,1.076,,,,64.5,0.0,0.0,0.0,0.0,170.03417,2455003.03417
KEPLER,12459725,12459725,0,14.1798187,2.505,459.9,0.1601,,1.88,,,60.35,711.0,5799.0,4.539,0.878,,,,11.2,0.0,0.0,0.0,1.0,171.50237,2455004.50237
KEPLER,12470844,12470844,1,8.47237911,2.7245,1123.5,0.022,,2.59,,,75.44,751.0,5354.0,4.587,0.788,,,,47.6,0.0,0.0,0.0,0.0,174.16212,2455007.16212
KEPLER,12644822,12644822,1,12.611904345,5.1497,6105.6,0.55,,7.4,,,76.15,753.0,5795.0,4.508,0.919,,,,277.2,0.0,0.0,0.0,0.0,180.892284,2455013.892284
KEPLER,2440757,2440757,0,1.433769925,1.8868,1976.3,1.268,,46.58,,,3209.29,1920.0,6017.0,4.22,1.339,,,,112.6,0.0,1.0,0.0,0.0,170.403536,2455003.403536
KEPLER,2445129,2445129,0,10.31872301,3.836,871.7,1.215,,28.59,,,139.26,876.0,5927.0,4.409,1.06,,,,38.2,0.0,1.0,1.0,0.0,173.31543,2455006.31543
KEPLER,2713049,2713049,1,2.539183147,2.4282,382.1,0.238,,2.06,,,743.09,1332.0,5519.0,4.35,1.062,,,,38.9,0.0,0.0,0.0,0.0,169.67494,2455002.67494
KEPLER,3114167,3114167,1,6.770300385,2.0844,1304.0,0.838,,2.77,,,102.87,812.0,5653.0,4.656,0.679,,,,50.8,0.0,0.0,0.0,0.0,170.57662,2455003.57662
KEPLER,3114661,3114661,0,0.444291966,2.0792,10967.0,1.258,,27.51,,,2706.26,1836.0,5255.0,4.678,0.636,,,,299.7,0.0,1.0,1.0,1.0,169.865406,2455002.865406
KEPLER,3115833,3115833,1,10.181584004,3.5089,5741.1,0.92,,7.73,,,102.91,812.0,5988.0,4.541,0.836,,,,183.6,0.0,0.0,0.0,0.0,177.141891,2455010.141891
KEPLER,4139816,4139816,1,20.06036336,3.3203,1494.7,0.556,,1.96,,,4.0,361.0,3950.0,4.754,0.493,,,,35.2,0.0,0.0,0.0,0.0,147.46554,2454980.46554
KEPLER,4275191,4275191,1,3.895936525,2.3111,8544.8,0.524,,7.34,,,241.62,1005.0,5557.0,4.592,0.774,,,,370.8,0.0,0.0,0.0,0.0,170.527552,2455003.527552
KEPLER,4476123,4476123,1,22.36646466,5.228,986.8,0.4,,2.32,,,19.45,536.0,5395.0,4.615,0.734,,,,32.1,0.0,0.0,0.0,0.0,175.45862,2455008.45862
KEPLER,3351888,3351888,1,1.625522174,2.38963,7969.0,0.076,,9.73,,,1467.41,1579.0,5539.0,4.322,1.106,,,,799.7,0.0,0.0,0.0,0.0,170.8266564,2455003.8266564
KEPLER,3453214,3453214,1,19.620346923,2.0038,21725.0,0.458,,13.6,,,40.39,643.0,5710.0,4.492,0.905,,,,340.5,0.0,0.0,0.0,0.0,181.881819,2455014.881819
KEPLER,3554600,3554600,0,7.544039,6.222,322.6,1.175,,17.47,,,116.46,838.0,5657.0,4.567,0.824,,,,14.2,1.0,0.0,1.0,0.0,171.7982,2455004.7982
KEPLER,3641726,3641726,1,9.02930689,3.1449,1019.8,0.024,,2.57,,,77.75,757.0,5349.0,4.526,0.82,,,,53.9,0.0,0.0,0.0,0.0,177.20422,2455010.20422
KEPLER,3734868,3734868,0,10.328035714,7.7915,16918.0,0.281,,13.28,,,119.31,843.0,5627.0,4.359,1.024,,,,636.8,0.0,1.0,0.0,0.0,174.581054,2455007.581054
KEPLER,3832474,3832474,1,143.2063047,8.9302,10566.0,0.379,,8.9,,,2.14,308.0,5485.0,4.556,0.867,,,,138.8,0.0,0.0,0.0,0.0,154.23552,2454987.23552
KEPLER,3836375,3836375,0,1.540397253,2.1541,816.1,1.225,,25.69,,,1105.68,1470.0,5663.0,4.53,0.915,,,,38.8,0.0,0.0,1.0,1.0,170.50479,2455003.50479
KEPLER,3838486,3838486,0,2.99025443,5.414,589.2,0.014,,1.7,,,168.45,918.0,4667.0,4.578,0.731,,,,48.5,0.0,0.0,1.0,1.0,171.9834,2455004.9834
KEPLER,3935914,3935914,1,1.594745374,1.9604,15044.0,0.514,,11.3,,,1329.42,1539.0,5934.0,4.491,0.893,,,,1009.3,0.0,0.0,0.0,0.0,170.6483505,2455003.6483505
KEPLER,3940418,3940418,1,4.783002698,2.335,1008.7,0.003,,2.5,,,145.48,886.0,5170.0,4.574,0.807,,,,70.6,0.0,0.0,0.0,0.0,170.508434,2455003.508434
KEPLER,4049131,4049131,1,20.50588921,4.0595,2105.5,0.26,,3.41,,,17.06,518.0,4905.0,4.544,0.761,,,,78.5,0.0,0.0,0.0,0.0,181.43428,2455014.43428
KEPLER,5287983,5287983,0,2.507089906,2.0067,1339.2,1.255,,30.26,,,730.47,1326.0,5926.0,4.506,0.939,,,,64.9,0.0,1.0,1.0,0.0,171.002455,2455004.002455
KEPLER,5358241,5358241,1,18.64932728,4.4056,893.6,0.08,,3.12,,,57.13,701.0,5775.0,4.405,1.053,,,,46.1,0.0,0.0,0.0,0.0,174.771,2455007.771
