mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd,fpflag_sum
KEPLER,8297017,8297017,1,128.208643,2.745,212.2,0.811,NA,6.15,0.07015,NA,93.05,792.0,7128.0,3.52,3.811,0.8805000000000001,-0.06,NA,8.9,0.0,0.0,0.0,0.0,230.1943,2455063.1943,0.0
KEPLER,5282656,5282656,0,1.516372183,1.239,93.8,0.596,NA,1.06,0.07015,NA,1911.54,1686.0,6142.0,4.456,1.046,0.8805000000000001,-0.06,NA,8.8,0.0,0.0,1.0,0.0,131.83387,2454964.83387,1.0
KEPLER,5284133,5284133,0,8.784575777,5.3022,262980.0,0.5,NA,104.57,0.07015,NA,1380.83,1555.0,8144.0,4.139,1.914,0.8805000000000001,-0.06,NA,4761.5,0.0,1.0,0.0,0.0,134.6752148,2454967.6752148,1.0
KEPLER,5285607,5285607,0,1.949700508,4.35014,38119.0,1.153,NA,56.11,0.07015,NA,2048.37,1716.0,6469.0,4.385,1.193,0.8805000000000001,-0.06,NA,2271.0,0.0,1.0,0.0,0.0,132.4267375,2454965.4267375,1.0
KEPLER,5286786,5286786,0,9.948701373,3.2922,2749.5,1.277,NA,29.19,0.07015,NA,57.93,704.0,5152.0,4.517,0.786,0.8805000000000001,-0.06,NA,103.1,0.0,1.0,0.0,0.0,138.55412,2454971.55412,1.0
KEPLER,5288543,5288543,0,3.457078812,5.24058,315520.0,0.317,NA,86.12,0.07015,NA,1560.4,1603.0,6526.0,4.182,1.482,0.8805000000000001,-0.06,NA,6009.0,0.0,1.0,0.0,0.0,131.8058069,2454964.8058069,1.0
KEPLER,5294739,5294739,0,3.735993484,17.4877,617990.0,0.993,NA,571.07,0.07015,NA,4283.18,2063.0,5467.0,3.432,4.055,0.8805000000000001,-0.06,NA,1587.7,0.0,1.0,0.0,0.0,135.062493,2454968.062493,1.0
KEPLER,5295206,5295206,1,6.63448023,3.603,71.2,0.116,NA,1.04,0.07015,NA,453.27,1177.0,6463.0,4.313,1.225,0.8805000000000001,-0.06,NA,10.3,0.0,0.0,0.0,0.0,137.0694,2454970.0694,0.0
KEPLER,5298620,5298620,0,12.4239677,16.01,162.4,0.007,NA,0.87,0.07015,NA,31.93,606.0,4995.0,4.58,0.698,0.8805000000000001,-0.06,NA,12.8,1.0,0.0,1.0,1.0,141.676,2454974.676,3.0
KEPLER,5300878,5300878,0,0.639721284,2.69771,465920.0,0.404,NA,46.59,0.07015,NA,1220.53,1505.0,4794.0,4.633,0.625,0.8805000000000001,-0.06,NA,1012.9,0.0,1.0,0.0,0.0,131.8546732,2454964.8546732,1.0
KEPLER,6292732,6292732,0,1.25338826,3.828,44.7,0.469,NA,0.64,0.07015,NA,1750.61,1651.0,5869.0,4.513,0.942,0.8805000000000001,-0.06,NA,14.8,0.0,0.0,0.0,1.0,132.6307,2454965.6307,1.0
